Hour	Airline	Total Flights	On Time
20	OO	8900	Delayed
20	OO	13025	On Time
20	US	10343	Delayed
20	US	12272	On Time
20	WN	40557	Delayed
20	WN	26484	On Time
21	AA	12140	Delayed
21	AA	6230	On Time
21	DL	8511	Delayed
21	DL	9787	On Time
21	MQ	7221	Delayed
21	MQ	4877	On Time
21	OO	8884	Delayed
21	OO	14148	On Time
21	US	5737	Delayed
21	US	6451	On Time
21	WN	33579	Delayed
21	WN	16843	On Time
22	AA	7113	Delayed
22	AA	3103	On Time
22	DL	4903	Delayed
22	DL	4738	On Time
22	MQ	2565	Delayed
22	MQ	909	On Time
22	OO	4325	Delayed
22	OO	5219	On Time
22	US	7634	Delayed
22	US	8149	On Time
22	WN	12508	Delayed
22	WN	281	On Time
23	AA	3348	Delayed
23	AA	1109	On Time
23	DL	2434	Delayed
23	DL	1402	On Time
23	MQ	744	Delayed
23	OO	1442	Delayed
23	OO	169	On Time
23	US	2532	Delayed
23	US	3208	On Time
23	WN	2875	Delayed
23	WN	1	On Time
